titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
BRACELETS DE FER;GENIFOR JAYAKOBY;19/11/2009;19/11/2009;EXTERIEUR;PARVIS DE NOTRE DAME;75001;PARVIS  DE NOTRE DAME 75001 Paris France;
BRACELETS DE FER;GENIFOR JAYAKOBY;23/12/2009;23/12/2009;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
BRACELETS DE FER;GENIFOR JAYAKOBY;29/12/2009;29/12/2009;EXTERIEUR;PORTE MAILLOT;75017;PORTE MAILLOT 75017 Paris France;
BRACELETS DE FER;GENIFOR JAYAKOBY;28/12/2009;28/12/2009;EXTERIEUR;PARVIS DU SACRE COEUR;75018;PARVIS  DU SACRE COEUR 75018 Paris France;
FLEURS DU MAL;DAVID DUSA;11/05/2009;11/05/2009;EXTERIEUR;QUAI DE L'HOTEL DE VILLE;75004;QUAI DE L'HOTEL DE VILLE 75004 Paris France;48.854754, 2.353961
FLEURS DU MAL;DAVID DUSA;11/07/2009;11/07/2009;EXTERIEUR;AVENUE DU GENERAL EISENHOWER;75008;AVENUE DU GENERAL EISENHOWER 75008 Paris France;
FLEURS DU MAL;DAVID DUSA;11/05/2009;11/05/2009;EXTERIEUR;QUAI DE BOURBON;75004;QUAI DE BOURBON 75004 Paris France;48.853023, 2.355285
BELLE EPINE;REBECCA ZLOTOWSKI;18/11/2009;18/11/2009;EXTERIEUR;RUE COUSTOU;75018;RUE COUSTOU 75018 Paris France;48.884154, 2.33392
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;13/02/2010;13/02/2010;EXTERIEUR;PLACE DE BRETEUIL;75007;PLACE DE BRETEUIL 75007 Paris France;48.847512, 2.311946
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;01/05/2010;01/05/2010;EXTERIEUR;TERRAIN SKATE PARK DE BERCY;75012;TERRAIN  SKATE PARK DE BERCY 75012 Paris France;
NO ET MOI;ZABOU BREITMAN;02/10/2010;02/10/2010;EXTERIEUR;RUE DE MONTGALLET;75012;RUE DE MONTGALLET 75012 Paris France;
NO ET MOI;ZABOU BREITMAN;02/08/2010;02/08/2010;EXTERIEUR;RUE DES DEUX GARES;75010;RUE DES DEUX GARES 75010 Paris France;
NO ET MOI;ZABOU BREITMAN;03/02/2010;03/03/2010;EXTERIEUR;AVENUE TRUDAINE;75009;AVENUE TRUDAINE 75009 Paris France;48.881317, 2.343498
NO ET MOI;ZABOU BREITMAN;02/01/2010;02/01/2010;EXTERIEUR;RUE SAINT LAZARE;75009;RUE SAINT LAZARE 75009 Paris France;48.876257, 2.331862
NO ET MOI;ZABOU BREITMAN;02/10/2010;02/10/2010;EXTERIEUR;RUE BECCARIA;75012;RUE BECCARIA 75012 Paris France;
NO ET MOI;ZABOU BREITMAN;03/01/2010;03/01/2010;EXTERIEUR;ALLEE DES ORGUES DE FLANDRE;75019;ALLEE DES ORGUES DE FLANDRE 75019 Paris France;
LA CHANCE DE MA VIE;NICOLAS CUCHE;19/01/2010;19/01/2010;EXTERIEUR;RUE CHABANAIS/RUE RAMEAU;75002;RUE CHABANAIS/RUE RAMEAU 75002 Paris France;
LA CHANCE DE MA VIE;NICOLAS CUCHE;18/01/2010;18/01/2010;EXTERIEUR;PLACE DU PARVIS DE L'EGLISE ST CLOTILDE;75007;PLACE DU PARVIS DE L'EGLISE ST CLOTILDE 75007 Paris France;
LES YEUX DE SA MERE;THIERRY KLIFA;03/06/2010;03/06/2010;EXTERIEUR;BOULEVARD SAINT MARTIN;75003;BOULEVARD SAINT MARTIN 75003 Paris France;
LES INSOMNIAQUES;JEAN PIERRE MOCKY;20/01/2010;20/01/2010;DOMAINE PUBLIC;SQUARE JEAN PERRIN;75008;SQUARE  JEAN PERRIN 75008 Paris France;
LES INSOMNIAQUES;JEAN PIERRE MOCKY;28/01/2010;28/01/2010;EXTERIEUR;RUE MORLEY/DE SCHOMBER/DE SULLY;75004;RUE MORLEY/DE SCHOMBER/DE SULLY 75004 Paris France;
LES INSOMNIAQUES;JEAN PIERRE MOCKY;29/01/2010;29/01/2010;EXTERIEUR;BOULEVARD MORLAND;75004;BOULEVARD MORLAND 75004 Paris France;
AU BISTRO DU COIN;CHARLES NEMES;18/01/2010;19/01/2010;EXTERIEUR;RUE DU MARCHE POPINCOURT;75011;RUE DU MARCHE POPINCOURT 75011 Paris France;
A BOUT PORTANT;FRED CAVAYE;14/03/2010;14/03/2010;EXTERIEUR;PASSAGE DE LA FERME SAINT LAZARE;75010;PASSAGE DE LA FERME SAINT LAZARE 75010 Paris France;
A BOUT PORTANT;FRED CAVAYE;15/03/2010;15/03/2010;EXTERIEUR;RUE BALARD;75015;RUE BALARD 75015 Paris France;
MONSIEUR PAPA;KAD MERAD;02/08/2010;02/09/2010;EXTERIEUR;AVENUE DE FRIEDLAND;75008;AVENUE DE FRIEDLAND 75008 Paris France;48.8744, 2.301089
