title;year;genres;realisators;actors;synopsis;language;country;rate;duration;found
CONTRE TOI/SOUS TON EMPRISE;0;null;null;null;null;null;null;0.0;0;false
HORS LA LOI;0;;N/a,;N/a,;N/A;French;France;0.0;0;true
MEMORY LANE;2012;;Shawn Holmes,Hari Sathappan,;Michael Guy Allen,Meg Braden,Julian Curi,Zac Snyder,;An orphaned war-veteran routinely travels between our world and the afterlife in search of his fiance's killer by stopping and starting his own heart.;English;USA;7.1;70;true
D'AMOUR ET D'EAU FRAICHE;2000;;Sophie Laloy,Eric Veniard,;Cécile Laloy,Sophie Laloy,Maï David,Albane Laloy,;N/A;N/A;N/A;0.0;29;true
NODAME CANTABILE 2;0;null;null;null;null;null;null;0.0;0;false
COMME LES 5 DOIGTS DE LA MAIN;0;null;null;null;null;null;null;0.0;0;false
LE NOM DES GENS;0;null;null;null;null;null;null;0.0;0;false
SANS QUEUE NI TETE;2002;;N/a,;N/a,;N/A;N/A;France;0.0;7;true
GIGOLA;2010;;Laure Charpentier (novel),;Lou Doillon,Eduardo Noriega,Marie Kremer,Rossy De Palma,;Set in the risque world of 1960's Paris, Gigola is a witty and desirable young girl who explores the lesbian underworld of the city and soon becomes a high-priced escort.;French;France;5.1;102;true
118318;0;null;null;null;null;null;null;0.0;0;false
LA SOEUR DE MOZART;0;null;null;null;null;null;null;0.0;0;false
ASAL;2010;;N/a,;Ajith Kumar,Sameera Reddy,Bhavana,Prabhu,;A legit-weapons dealer has 3 sons. Shiva is one of them who is subdued by his brothers. He rescues his kidnapped brother only to find himself shot by them. Then he uncovers the mystery of his father's death and takes revenge.;Tamil;India;4.0;135;true
VILLA AMALIA;2009;;Benoît Jacquot (scenario),Julien Boivent (collaboration),Pascal Quignard (novel),;Isabelle Huppert,Jean-hugues Anglade,Xavier Beauvois,Maya Sansa,;Villa Amalia is the story of Ann, a musician, whose life is turned upside down by a kiss. When she sees Thomas kissing another woman, Ann makes a clean break, leaving him and everything ...;French, Italian;France, Switzerland;6.2;94;true
DEMAIN DES L'AUBE;0;null;null;null;null;null;null;0.0;0;false
QUARTIER LOINTAIN;2010;;Jirô Taniguchi (manga "harukanaru Machi E"),Philippe Blasband (screenplay),Sam Garbarski (screenplay),Jérôme Tonnerre (screenplay),;Pascal Greggory,Jonathan Zaccaï,Alexandra Maria Lara,Léo Legrand,;A grown man wakes up to discover he is a teenager again.;French;Belgium, Luxembourg, France, Germany;7.0;98;true
VENUS NOIRE;0;null;null;null;null;null;null;0.0;0;false
ELLE S'APPELAIT SARAH;0;null;null;null;null;null;null;0.0;0;false
L'HOMME QUI VOULAIT VIVRE SA VIE;0;null;null;null;null;null;null;0.0;0;false
LA GRANDE VILLA;2010;;Latif Lahlou,;Mélanie Maudran,Hicham Nazzal,Bulle Ogier,Naima Lamcharki,;N/A;French;Morocco;0.0;111;true
MA COMPAGNE DE NUIT;2011;;Isabelle Brocard,Hélène Laurent,;Emmanuelle Béart,Hafsia Herzi,Laurent Grévill,Bruno Todeschini,;N/A;French;France;6.6;100;true
DONNANT DONNANT/UN HOMME TRES RECHERCHE;0;null;null;null;null;null;null;0.0;0;false
LA VIE N'EST PAS UNE COMEDIE ROMANTIQUE/MA VIE SANS MEG RYAN;0;null;null;null;null;null;null;0.0;0;false
LE COEUR DES HOMMES 2;2007;;Marc Esposito,;Bernard Campan,Gérard Darmon,Jean-pierre Darroussin,Marc Lavoine,;Alex, Antoine, Jeff and Manu. Four friends, four years later. Their relationships, friendship, shared secrets, feelings of guilt and their desire to change and improve.;French;France;6.0;0;true
LE BALLON ROUGE;1917;;N/a,;Charles Lamy,Geneviève Félix,;N/A;N/A;France;0.0;0;true
JHOOM BARABAR JHOOM;2007;;Habib Faisal (screenplay),Anurag Kashyap (story),;Abhishek Bachchan,Preity Zinta,Bobby Deol,Lara Dutta,;A man and a woman, engaged to marry different people, spend a couple of hours chatting together at a train station only to fall for each other.;English, Hindi, Panjabi;India;3.8;138;true
J'AI REVE SOUS L'EAU;0;null;null;null;null;null;null;0.0;0;false
LA MAISON;2007;;Manuel Poirier,;Sergi López,Bruno Salomone,Bérénice Bejo,Barbara Schulz,;Malo (Sergi Lopez) has separated from his wife and a divorce is in the works. His children leave with his wife on holiday...;French;France;6.4;95;true
LA FABRIQUE DES SENTIMENTS (EXCLUSIF);0;null;null;null;null;null;null;0.0;0;false
LES DEUX MONDES;2007;;Daniel Cohen (screenplay),Jean-marc Culiersi (screenplay),Daniel Cohen (dialogue),Daniel Cohen (idea),Daniel Cohen (adaptation),Eva Maria Peters (dialogue Adaptation For Dubbing),;Benoît Poelvoorde,Natacha Lindinger,Michel Duchaussoy,Daniel Cohen,;A French tradesman travels in time and liberates an oppressed tribe in another world.;French;France;5.6;105;true
LE TUEUR;2007;;Cédric Anger,;Gilbert Melki,Grégoire Colin,Mélanie Laurent,Sophie Cattani,;Leo Zimmermann,a business man from Paris dotes on his daughter.He proposes a strange offer to his killer when he is in town to execute Zimmermann.;French;France;5.7;91;true
